task_id,success,is_correct,accuracy,execution_time,transformations,action_used,grid_size,train_examples,test_examples,error
task_blob_color_change,True,True,1.0000,13.96,color_change|color_change,color_change,8x8,2,1,
task_blob_reflection,True,True,1.0000,13.16,reflection|reflection,reflect,8x8,2,1,
task_blob_rotation,True,True,1.0000,7.66,rotation|rotation,rotate,8x8,2,1,
task_blob_translation,True,True,1.0000,15.38,translation|translation,translate,10x10,2,1,
task_challenge_multi_transform,True,False,0.8833,18.37,rotation|rotation,translate,10x12,2,1,
task_color_change,True,True,1.0000,12.86,color_change|rotation|color_change|rotation,color_change,8x8,2,1,
task_draw_line,True,True,1.0000,15.72,draw_line|draw_line|rotation|draw_line,draw_line,10x10,3,1,
task_l_shape,True,True,1.0000,11.07,translation|translation,translate,10x10,2,1,
task_multi_objects,True,False,0.8750,9.56,rotation|translation|rotation|translation,translate,8x8,2,1,
task_multi_objects_same_transform,True,True,1.0000,22.78,translation|rotation|translation|rotation,translate,10x10,2,1,
task_reflection,True,False,0.8889,10.60,translation|reflection|translation|reflection,translate,6x6,2,1,
task_rotation_90,True,False,0.7959,11.21,reflection|rotation,rotate,7x7,2,1,
