model,correct,total,correct_pct,accuracy,avg_time_ms,fallback_rate
mistral,100,140,71.43,0.9700,6925.8,0.1357
llama3,98,140,70.00,0.9481,11397.5,0.1357
phi3,91,140,65.00,0.9305,9317.7,0.1500
